"품목별(1)",품목별(2),2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05
"품목별(1)",품목별(2),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%),전월대비 매출증감률 (%),전년동월대비 매출증감률 (%)
"총계",소계,-11.4,-40.3,26.6,-14.8,22.5,-7.4
"비식품",소계,-10.8,-40.4,28.2,-13.5,23.4,-5.4
"비식품",잡화,-18.9,-53.0,33.3,-32.2,38.2,-25.4
"비식품",여성정장,-10.3,-54.0,15.8,-34.0,26.0,-20.3
"비식품",여성캐주얼,-10.3,-58.7,29.5,-37.0,28.2,-32.4
"비식품",남성의류,-6.8,-51.3,40.2,-24.5,20.8,-15.8
"비식품",아동/스포츠,-13.9,-52.8,59.1,-19.2,27.3,-12.2
"비식품",가정용품,-5.9,-25.2,23.8,9.6,12.6,18.4
"비식품",해외유명브랜드,-10.5,-19.4,21.7,8.2,21.4,19.1
"식품",소계,-13.5,-39.3,16.8,-22.3,15.0,-20.1
